#separator:tab
#html:true
#tags:minmaculate pair
#deck:Minmaculate Grid::Pairs
Front	Back
ARI - NYY	<b>Optimal:</b> Anthony Swarzak, Mike Morgan<br><b>Twins:</b> Anthony Swarzak, Mike Morgan, Terry Mulholland
ARI - OAK	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Jose Guillen, Mike Morgan<br><b>Twins:</b> Fernando Rodney, Mike Morgan
ARI - PHI	<b>Optimal:</b> Chase Anderson<br><b>Twins:</b> Terry Mulholland
ARI - PIT	<b>Optimal:</b> Jose Guillen<br><b>Twins:</b> Dennys Reyes, Terry Mulholland
ARI - SDP	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Jose Cruz<br><b>Twins:</b> Dennys Reyes, Fernando Rodney
ARI - SEA	<b>Optimal:</b> Anthony Swarzak, Fernando Rodney, Jose Cruz, Jose Guillen, Mike Morgan<br><b>Twins:</b> Anthony Swarzak, Fernando Rodney, Mike Morgan, Terry Mulholland
ARI - SFG	<b>Optimal:</b> Jose Cruz, Jose Guillen<br><b>Twins:</b> Terry Mulholland
ARI - STL	<b>Optimal:</b> Edwin Jackson, Mike Morgan<br><b>Twins:</b> Dennys Reyes, Mike Morgan
ARI - TBD	<b>Optimal:</b> Chase Anderson, Edwin Jackson, Fernando Rodney, Jose Cruz, Jose Guillen<br><b>Twins:</b> Fernando Rodney
ARI - TEX	<b>Optimal:</b> Chase Anderson, Mike Morgan<br><b>Twins:</b> Dennys Reyes, Mike Morgan
ARI - TOR	<b>Optimal:</b> Chase Anderson, Edwin Jackson, Jose Cruz, Mike Morgan<br><b>Twins:</b> Mike Morgan
ARI - WSN	<b>Optimal:</b> Edwin Jackson, Fernando Rodney, Jose Guillen<br><b>Twins:</b> Fernando Rodney
ATL - BAL	<b>Optimal:</b> Bruce Chen, Edwin Jackson<br><b>Twins:</b> Gregg Olson, Luis Ayala
ATL - BOS	<b>Optimal:</b> Bruce Chen, Edgar Renteria<br><b>Twins:</b> Ron Kline
